n_original,dia,tto,tto_numero,Label,area,int_fak,int_dnapk,int_gammah2ax,fak_bc_mean,dnapk_b_meanc,gammah2ax_bc_mean,ctcf_fak,ctcf_fak_bar,ctcf_dnapk,ctcf_dnapk_bar,ctcf_gammah2ax,ctcf_gammah2ax_bar
356,dia 2,controle,28,(13)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo2,214.325,1466761.117,427772.819,300270.221,1029.648333,318.7956667,106.654,1246081.738,1246081.738,359446.9377,359446.9377,277411.6025,277411.6025
357,dia 2,controle,29,(13)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo3,199.964,1254892.564,361217.35,215491.707,1029.648333,318.7956667,106.654,1048999.965,1048999.965,297469.6933,297469.6933,194164.7465,194164.7465
358,dia 2,controle,30,(13)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo4,259.56,1683993.028,507366.768,268328.05,1029.648333,318.7956667,106.654,1416737.507,1416737.507,424620.1648,424620.1648,240644.9378,240644.9378
378,dia 2,controle,31,(16)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment-1.czifak:nucleo0,199.85,977085.082,302239.864,166774.572,774.4923333,521.176,109.137,822302.7892,822302.7892,198082.8404,198082.8404,144963.5426,144963.5426
379,dia 2,controle,32,(16)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment-1.czifak:nucleo1,247.246,1248827.538,420157.063,208533.549,774.4923333,521.176,109.137,1057337.407,1057337.407,291298.3817,291298.3817,181549.8623,181549.8623
380,dia 2,controle,33,(16)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment-1.czifak:nucleo2,257.468,1031935.506,409297.814,223503.513,774.4923333,521.176,109.137,832528.5139,832528.5139,275111.6716,275111.6716,195404.2279,195404.2279
381,dia 2,controle,34,(16)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment-1.czifak:nucleo3,178.994,715239.742,377892.266,157833.293,774.4923333,521.176,109.137,576610.2613,576610.2613,284604.8891,284604.8891,138298.4248,138298.4248
399,dia 2,controle,35,(19)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-09_Out_Channel Alignment-1.czifak:nucleo0,186.981,690988.209,397582.072,215119.114,431.4166667,208.8276667,97.60066667,610321.4893,610321.4893,358535.2661,358535.2661,196869.6437,196869.6437
400,dia 2,controle,36,(19)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-09_Out_Channel Alignment-1.czifak:nucleo1,203.719,877849.322,364571.837,226127.164,431.4166667,208.8276667,97.60066667,789961.5501,789961.5501,322029.6736,322029.6736,206244.0538,206244.0538
401,dia 2,controle,37,(19)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-09_Out_Channel Alignment-1.czifak:nucleo2,191.55,640073.176,325777.359,278345.008,431.4166667,208.8276667,97.60066667,557435.3135,557435.3135,285776.4195,285776.4195,259649.6003,259649.6003
402,dia 2,controle,38,(19)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-09_Out_Channel Alignment-1.czifak:nucleo3,262.521,929447.752,331438.607,192438.078,431.4166667,208.8276667,97.60066667,816191.8173,816191.8173,276616.9591,276616.9591,166815.8534,166815.8534
420,dia 2,controle,39,(12)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-10_Out_Channel Alignment-1.czifak:nucleo0,249.338,1253004.775,707187.546,691546.896,1062.18,675.0063333,151.6523333,988162.9382,988162.9382,538882.8169,538882.8169,653734.2065,653734.2065
421,dia 2,controle,40,(12)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-10_Out_Channel Alignment-1.czifak:nucleo1,247.534,1161419.991,880088.771,677121.416,1062.18,675.0063333,151.6523333,898494.3269,898494.3269,713001.7533,713001.7533,639582.3073,639582.3073
422,dia 2,controle,41,(12)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-10_Out_Channel Alignment-1.czifak:nucleo2,288.869,1227677.043,831249.227,865204.72,1062.18,675.0063333,151.6523333,920846.1686,920846.1686,636260.8225,636260.8225,821397.0621,821397.0621
438,dia 2,controle,42,(16)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment-1.czifak:nucleo0,236.592,1349295.743,237798.816,205705.766,828.0113333,240.615,55.557,1153394.886,1153394.886,180871.2319,180871.2319,192561.4243,192561.4243
439,dia 2,controle,43,(16)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment-1.czifak:nucleo1,267.22,1549137.213,531739.533,369607.871,828.0113333,240.615,55.557,1327876.025,1327876.025,467442.3927,467442.3927,354761.9295,354761.9295
440,dia 2,controle,44,(16)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment-1.czifak:nucleo2,211.267,1281633.85,319498.381,273531.942,828.0113333,240.615,55.557,1106702.38,1106702.38,268664.3718,268664.3718,261794.5813,261794.5813
441,dia 2,controle,45,(16)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment-1.czifak:nucleo3,179.824,791861.513,199121.415,169794.191,828.0113333,240.615,55.557,642965.203,642965.203,155853.0632,155853.0632,159803.709,159803.709
459,dia 2,controle,46,(15)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-12_Out_Channel Alignment-1.czifak:nucleo0,241.476,1375411.124,272108.884,240162.882,781.0463333,259.4263333,48.4,1186807.18,1186807.18,209463.6507,209463.6507,228475.4436,228475.4436
460,dia 2,controle,47,(15)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-12_Out_Channel Alignment-1.czifak:nucleo1,272.1,1564498.597,601427.829,423550.894,781.0463333,259.4263333,48.4,1351975.89,1351975.89,530837.9237,530837.9237,410381.254,410381.254
461,dia 2,controle,48,(15)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-12_Out_Channel Alignment-1.czifak:nucleo2,213.634,1274867.493,357226.759,304259.214,781.0463333,259.4263333,48.4,1108009.441,1108009.441,301804.4737,301804.4737,293919.3284,293919.3284
462,dia 2,controle,49,(15)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-12_Out_Channel Alignment-1.czifak:nucleo3,182.277,786690.671,222887.918,185468.653,781.0463333,259.4263333,48.4,644323.8885,644323.8885,175600.4642,175600.4642,176646.4462,176646.4462
480,dia 2,controle,50,(11)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-13_Out_Channel Alignment-1.czifak:nucleo0,217.57,918593.723,425644.89,389385.94,775.608,346.893,74.758,749844.6904,749844.6904,350171.38,350171.38,373120.8419,373120.8419
481,dia 2,controle,51,(11)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-13_Out_Channel Alignment-1.czifak:nucleo1,219.866,850732.872,363522.431,309142.464,775.608,346.893,74.758,680203.0435,680203.0435,287252.4547,287252.4547,292705.7216,292705.7216
482,dia 2,controle,52,(11)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-13_Out_Channel Alignment-1.czifak:nucleo2,213.844,934651.832,309670.939,704790.193,775.608,346.893,74.758,768792.7148,768792.7148,235489.9523,235489.9523,688803.6432,688803.6432
483,dia 2,controle,53,(11)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-13_Out_Channel Alignment-1.czifak:nucleo3,179.646,623230.784,267839.431,202501.993,775.608,346.893,74.758,483895.9092,483895.9092,205521.4911,205521.4911,189072.0173,189072.0173
501,dia 2,controle,54,(15)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment-1.czifak:nucleo0,164.864,913629.082,252280.232,547526.27,960.8516667,271.6263333,117.443,755219.2328,755219.2328,207498.8282,207498.8282,528164.1472,528164.1472
502,dia 2,controle,55,(15)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment-1.czifak:nucleo1,216.999,1107961.856,461519.354,222240.403,960.8516667,271.6263333,117.443,899458.0052,899458.0052,402576.7113,402576.7113,196755.3894,196755.3894
503,dia 2,controle,56,(15)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment-1.czifak:nucleo2,253.902,1392690.759,434948.178,344984.858,960.8516667,271.6263333,117.443,1148728.599,1148728.599,365981.7087,365981.7087,315165.8454,315165.8454
504,dia 2,controle,57,(15)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment-1.czifak:nucleo3,238.265,1095370.818,416505.708,180741.718,960.8516667,271.6263333,117.443,866433.4956,866433.4956,351786.6597,351786.6597,152759.1616,152759.1616
522,dia 2,doxo,1,(14)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment-1.czifak:nucleo0,520.64,5591530.743,5137576.844,11765116.69,856.0833333,266.854,168.3483333,5145819.516,5145819.516,4998641.977,4998641.977,11677467.81,11677467.81
523,dia 2,doxo,2,(14)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment-1.czifak:nucleo1,204.708,2188088.106,1697853.42,841589.937,856.0833333,266.854,168.3483333,2012840.999,2012840.999,1643226.271,1643226.271,807127.6864,807127.6864
537,dia 2,doxo,3,(16)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment-1.czifak:nucleo0,249.983,1289779.043,2204518.215,905841.538,455.792,294.4593333,89.59133333,1175838.791,1175838.791,2130908.387,2130908.387,883445.2277,883445.2277
538,dia 2,doxo,4,(16)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment-1.czifak:nucleo1,337.864,1942665.325,2675004.101,1006082.563,455.792,294.4593333,89.59133333,1788669.617,1788669.617,2575516.893,2575516.893,975812.8768,975812.8768
552,dia 2,doxo,5,(15)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment-1.czifak:nucleo0,283.429,2953649.676,3455251.733,200296.201,1054.561667,319.218,42.20966667,2654756.317,2654756.317,3364776.094,3364776.094,188332.7574,188332.7574
553,dia 2,doxo,6,(15)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment-1.czifak:nucleo1,233.566,2158104.142,2576626.257,186785.316,1054.561667,319.218,42.20966667,1911794.392,1911794.392,2502067.786,2502067.786,176926.573,176926.573
567,dia 2,doxo,7,(12)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment-1.czifak:nucleo0,281.567,502519.486,4260579.172,2026614.143,174.847,335.3426667,83.97133333,453288.3408,453288.3408,4166157.743,4166157.743,2002970.587,2002970.587
568,dia 2,doxo,8,(12)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment-1.czifak:nucleo1,418.998,755679.502,5580928.448,4419694.222,174.847,335.3426667,83.97133333,682418.9587,682418.9587,5440420.541,5440420.541,4384510.401,4384510.401
569,dia 2,doxo,9,(12)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment-1.czifak:nucleo2,269.097,506420.98,3313917.997,3762734.466,174.847,335.3426667,83.97133333,459370.1768,459370.1768,3223678.291,3223678.291,3740138.032,3740138.032
585,dia 2,doxo,10,(11)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment-1.czifak:nucleo0,250.764,884033.445,2147520.384,934389.874,295.7913333,291.5253333,228.309,809859.6271,809859.6271,2074416.325,2074416.325,877138.1959,877138.1959
586,dia 2,doxo,11,(11)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment-1.czifak:nucleo1,194.105,714781.895,1673799.977,1171722.212,295.7913333,291.5253333,228.309,657367.3182,657367.3182,1617213.452,1617213.452,1127406.294,1127406.294
600,dia 2,doxo,12,(12)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment-1.czifak:nucleo0,448.502,3089517.162,4627169.052,14260978.22,411.407,295.0483333,218.597,2905000.3,2905000.3,4494839.284,4494839.284,14162937.02,14162937.02
601,dia 2,doxo,13,(12)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment-1.czifak:nucleo1,244.844,1284330.535,2023117.353,1104045.544,411.407,295.0483333,218.597,1183599.999,1183599.999,1950876.539,1950876.539,1050523.38,1050523.38
602,dia 2,doxo,14,(12)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment-1.czifak:nucleo2,243.237,1091638.115,1490070.121,1108594.897,411.407,295.0483333,218.597,991568.7105,991568.7105,1418303.45,1418303.45,1055424.019,1055424.019
618,dia 2,doxo,15,(11)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo0,215.219,1090865.322,2172433.499,601570.093,507.3063333,272.6696667,59.446,981683.3602,981683.3602,2113749.806,2113749.806,588776.1843,588776.1843
619,dia 2,doxo,16,(11)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo1,255.997,1399459.294,2519010.873,452651.898,507.3063333,272.6696667,59.446,1269590.395,1269590.395,2449208.256,2449208.256,437433.9003,437433.9003
620,dia 2,doxo,17,(11)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo2,230.851,1074194.86,1675690.021,647756.632,507.3063333,272.6696667,59.446,957082.6856,957082.6856,1612743.956,1612743.956,634033.4635,634033.4635
636,dia 2,doxo,18,(13)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment-1.czifak:nucleo0,249.72,2877251.961,2944637.303,454744.321,616.5086667,346.4753333,47.05166667,2723297.417,2723297.417,2858115.483,2858115.483,442994.5788,442994.5788
637,dia 2,doxo,19,(13)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment-1.czifak:nucleo1,251.661,2375973.883,2853892.998,452095.126,616.5086667,346.4753333,47.05166667,2220822.695,2220822.695,2766698.669,2766698.669,440254.0565,440254.0565
651,dia 2,doxo,20,(12)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-09_Out_Channel Alignment-1.czifak:nucleo0,331.444,1320931.556,3063164.436,6380729.745,246.8056667,281.2353333,137.958,1239129.299,1239129.299,2969950.672,2969950.672,6335004.394,6335004.394
663,dia 2,doxo,21,(12)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment-1.czifak:nucleo0,219.369,315622.254,2356289.432,342618.678,127.0536667,183.2823333,37.89866667,287750.6182,287750.6182,2316082.97,2316082.97,334304.8854,334304.8854
664,dia 2,doxo,22,(12)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment-1.czifak:nucleo1,219.057,305298.087,2109805.775,279175.748,127.0536667,183.2823333,37.89866667,277466.0919,277466.0919,2069656.497,2069656.497,270873.7798,270873.7798
678,dia 2,doxo,23,(13)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-12_Out_Channel Alignment-1.czifak:nucleo0,310.607,3012679.681,1635622.857,359236.715,1118.912,419.732,129.5713333,2665137.781,2665137.781,1505251.16,1505251.16,318990.9519,318990.9519
690,dia 2,doxo,24,(14)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment-1.czifak:nucleo0,206.829,689697.329,1733971.98,567868.852,352.3586667,184.0553333,94.67866667,616819.3383,616819.3383,1695903.999,1695903.999,548286.5581,548286.5581
691,dia 2,doxo,25,(14)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment-1.czifak:nucleo1,250.811,976649.984,2273458.817,793140.765,352.3586667,184.0553333,94.67866667,888274.5545,888274.5545,2227295.715,2227295.715,769394.3139,769394.3139
692,dia 2,doxo,26,(14)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment-1.czifak:nucleo2,240.067,805330.721,1723461.849,783369.757,352.3586667,184.0553333,94.67866667,720741.033,720741.033,1679276.237,1679276.237,760640.5335,760640.5335
708,dia 2,doxo,27,(13)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment-1.czifak:nucleo0,217.871,1279062.915,1605481.838,922509.091,848.1716667,277.4153333,188.7626667,1094270.906,1094270.906,1545041.082,1545041.082,881383.1801,881383.1801
709,dia 2,doxo,28,(13)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment-1.czifak:nucleo1,207.484,1394644.139,1747900.692,491830.284,848.1716667,277.4153333,188.7626667,1218662.089,1218662.089,1690341.449,1690341.449,452665.0509,452665.0509
710,dia 2,doxo,29,(13)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment-1.czifak:nucleo2,234.14,1344649.441,1632361.274,794680.598,848.1716667,277.4153333,188.7626667,1146058.527,1146058.527,1567407.248,1567407.248,750483.7072,750483.7072
726,dia 2,doxo,30,(19)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-16_Out_Channel Alignment-1.czifak:nucleo0,265.838,1283927.397,1922373.341,214107.015,541.0636667,188.638,39.92266667,1140092.114,1140092.114,1872226.192,1872226.192,203494.0531,203494.0531
727,dia 2,doxo,31,(19)d2-dox-h2ax-647-dnapk-564-fak-488-dapi-16_Out_Channel Alignment-1.czifak:nucleo1,313.714,1751043.791,2480384.036,1112379.112,541.0636667,188.638,39.92266667,1581304.544,1581304.544,2421205.654,2421205.654,1099854.813,1099854.813
